"","","5%","95%"
"b[fidino species:Eastern_Kingbird]",-0.437745306945068,-1.08863314884006,0.223312906979065
"b[(Intercept) species:Eastern_Meadowlark]",0.183088743026424,-0.391925421904706,0.741316826463711
"b[dreuth species:Eastern_Meadowlark]",0.857715944532858,0.453299643804462,1.27237608609769
"b[fidino species:Eastern_Meadowlark]",-0.91045846805956,-1.67026272569548,-0.184081386203979
"b[(Intercept) species:Eastern_Phoebe]",1.68244891071471,1.153555660421,2.21182370956463
"b[dreuth species:Eastern_Phoebe]",-0.802971793223765,-1.1496877213212,-0.452157452942503
"b[fidino species:Eastern_Phoebe]",-1.47397050273309,-2.03291455426194,-0.909974764176286
"b[(Intercept) species:Eastern_Towhee]",2.48883447285138,2.00911544727774,2.99082679453015
"b[dreuth species:Eastern_Towhee]",-0.503513154622115,-0.806238593060875,-0.199633270263416
"b[fidino species:Eastern_Towhee]",-0.9627291248199,-1.49766624974628,-0.431084995066836
"b[(Intercept) species:Eastern_Whip-poor-will]",-1.95185086974515,-3.00871599392067,-0.968547254738069
"b[dreuth species:Eastern_Whip-poor-will]",0.0324940256219753,-0.946238784884299,1.01461540422694
"b[fidino species:Eastern_Whip-poor-will]",-0.589500484848956,-2.47729978665464,1.09558947138658
"b[(Intercept) species:Eastern_Wood-Pewee]",0.928180966473025,0.334496721614731,1.51797017348792
"b[dreuth species:Eastern_Wood-Pewee]",-0.565314217456695,-0.963766836971534,-0.166523388923251
"b[fidino species:Eastern_Wood-Pewee]",-1.0103590849703,-1.63247261100791,-0.400946303207349
"b[(Intercept) species:European_Starling]",-3.05418652190235,-4.26889564036856,-1.95294952257608
"b[dreuth species:European_Starling]",3.2498892160071,2.40529965398328,4.29191315210251
"b[fidino species:European_Starling]",6.05902508862321,4.96944040002056,7.32495883880686
"b[(Intercept) species:Field_Sparrow]",1.2176776330457,0.671227560755383,1.75805287984353
"b[dreuth species:Field_Sparrow]",0.708328990086519,0.375319509656122,1.05135081202821
"b[fidino species:Field_Sparrow]",0.148527879903607,-0.427713733929908,0.725785398862682
"b[(Intercept) species:Fox_Sparrow]",1.08696466938664,0.635398202117521,1.53245629731367
"b[dreuth species:Fox_Sparrow]",-0.367325022555212,-0.7110299952234,-0.0251316654790179
"b[fidino species:Fox_Sparrow]",-0.923305253521293,-1.43136708348439,-0.405971333126443
"b[(Intercept) species:Golden-crowned_Kinglet]",1.85009605741478,1.35109025075807,2.35991637990696
"b[dreuth species:Golden-crowned_Kinglet]",-0.738675193705351,-1.07769079715291,-0.393897786318992
"b[fidino species:Golden-crowned_Kinglet]",-0.49626869861481,-1.07786839429245,0.0743387191265288
"b[(Intercept) species:Golden-winged_Warbler]",-1.78556072177947,-2.75871216799196,-0.946087631315603
"b[dreuth species:Golden-winged_Warbler]",-0.494435328370218,-1.5937856914159,0.555761143536622
"b[fidino species:Golden-winged_Warbler]",0.279675193558392,-1.17128332522008,1.58538872833605
"b[(Intercept) species:Gray_Catbird]",1.71246459467011,1.31733116545071,2.09739335552368
"b[dreuth species:Gray_Catbird]",-0.124561449644096,-0.43523829472169,0.201579371128975
"b[fidino species:Gray_Catbird]",-0.302664367595476,-0.743186719430553,0.136757887520519
"b[(Intercept) species:Gray-cheeked_Thrush]",-0.706393629119296,-1.30646560530843,-0.148542708876416
"b[dreuth species:Gray-cheeked_Thrush]",2.12366274578929,1.63941640139461,2.63560779335151
"b[fidino species:Gray-cheeked_Thrush]",0.958129803842556,0.252101732941547,1.67977575679448
"b[(Intercept) species:Great_Crested_Flycatcher]",0.157606525886805,-0.45204963402361,0.761123805876478
"b[dreuth species:Great_Crested_Flycatcher]",0.104912859226931,-0.363164832848142,0.589859205715811
"b[fidino species:Great_Crested_Flycatcher]",0.21849219991627,-0.504639024155331,0.93397471464894
"b[(Intercept) species:Hairy_Woodpecker]",-0.793535967596234,-1.50065955872855,-0.0980056948551765
"b[dreuth species:Hairy_Woodpecker]",-2.29409497940383,-3.38967583929629,-1.36082431464282
"b[fidino species:Hairy_Woodpecker]",-0.863320677338245,-1.62642147696299,-0.0855577398885832
"b[(Intercept) species:Henslow's_Sparrow]",-0.570026952197508,-1.15829319942005,-0.0188997080718894
"b[dreuth species:Henslow's_Sparrow]",-0.72902908617992,-1.41968078484198,-0.0594175746820709
"b[fidino species:Henslow's_Sparrow]",-1.4627849423214,-2.83536042730301,-0.319201655843413
"b[(Intercept) species:Hermit_Thrush]",1.38284878881447,0.987508801037463,1.76360382366396
