"species","Habitat","Food","Nesting","Behavior","Conservation","status"
"Common Goldeneye","Lakes and Ponds","Aquatic invertebrates","Cavity","Surface Dive","Low Concern","Nonbreeding"
"Common Grackle","Open Woodlands","Omnivore","Tree","Ground Forager","Common Bird in Steep Decline","Year-round"
"Common Loon","Lakes and Ponds","Fish","Ground","Surface Dive","Low Concern","Migrating"
"Common Merganser","Lakes and Ponds","Fish","Cavity","Surface Dive","Low Concern","Nonbreeding"
"Common Nighthawk","Grasslands","Insects","Ground","Aerial Forager","Common Bird in Steep Decline","Breeding"
"Common Tern","Shorelines","Fish","Ground","Aerial Dive (water)","Low Concern","Migrating"
"Common Yellowthroat","Scrub","Insects","Shrub","Foliage Gleaner","Low Concern","Breeding"
"Connecticut Warbler","Forests","Insects","Ground","Ground Forager","Declining","Migrating"
"Cooper's Hawk","Forests","Birds","Tree","Aerial Forager","Low Concern","Year-round"
"Dark-eyed Junco","Forests","Seeds","Ground","Ground Forager","Low Concern","Nonbreeding"
"Dickcissel","Grasslands","Seeds","Shrub","Ground Forager","Low Concern","Breeding"
"Double-crested Cormorant","Lakes and Ponds","Fish","Ground","Surface Dive","Low Concern","Migrating"
"Downy Woodpecker","Forests","Insects","Cavity","Bark Forager","Low Concern","Year-round"
"Eastern Bluebird","Grasslands","Insects","Cavity","Ground Forager","Low Concern","Year-round"
"Eastern Kingbird","Grasslands","Insects","Tree","Flycatching","Low Concern","Breeding"
"Eastern Meadowlark","Grasslands","Insects","Ground","Ground Forager","Common Bird in Steep Decline","Year-round"
"Eastern Phoebe","Open Woodlands","Insects","Building","Flycatching","Low Concern","Breeding"
"Eastern Screech-Owl","Forests","Small Animals","Cavity","Aerial Dive (ground/talons)","Low Concern","Year-round"
"Eastern Towhee","Scrub","Omnivore","Ground","Ground Forager","Low Concern","Breeding"
"Eastern Whip-poor-will","Open Woodlands","Insects","Ground","Aerial Forager","Declining","Breeding"
"Eastern Wood-Pewee","Forests","Insects","Tree","Flycatching","Low Concern","Breeding"
"European Starling","Towns","Insects","Cavity","Ground Forager","Low Concern","Year-round"
"Field Sparrow","Scrub","Insects","Ground","Ground Forager","Common Bird in Steep Decline","Year-round"
"Fox Sparrow","Forests","Insects","Ground","Ground Forager","Low Concern","Nonbreeding"
"Gadwall","Marshes","Plants","Ground","Dabbler","Low Concern","Migrating"
"Glaucous Gull","Shorelines","Omnivore","Cliff","Ground Forager","Low Concern","Nonbreeding"
"Golden-crowned Kinglet","Forests","Insects","Tree","Foliage Gleaner","Low Concern","Nonbreeding"
"Golden-winged Warbler","Open Woodlands","Insects","Ground","Foliage Gleaner","Red Watch List","Migrating"
