"SP","SPEC","CONF","COMMONNAME","SCINAME","SPEC6","CONF6","lowername"
NA,"YBCH",NA,"Yellow-breasted Chat","Icteria virens","ICTVIR",NA,"yellow breasted chat"
NA,"YHBL",NA,"Yellow-headed Blackbird","Xanthocephalus xanthocephalus","XANXAN",NA,"yellow headed blackbird"
NA,"BOBO",NA,"Bobolink","Dolichonyx oryzivorus","DOLORY",NA,"bobolink"
NA,"EAME",NA,"Eastern Meadowlark","Sturnella magna","STUMAG",NA,"eastern meadowlark"
NA,"WEME",NA,"Western Meadowlark","Sturnella neglecta","STUNEG",NA,"western meadowlark"
NA,"RBRM","*","Red-breasted Meadowlark","Leistes militaris","LEIMIL",NA,"red breasted meadowlark"
NA,"YBIC","*","Yellow-billed Cacique","Amblycercus holosericeus","AMBHOL",NA,"yellow billed cacique"
NA,"YWCA",NA,"Yellow-winged Cacique","Cassiculus melanicterus","CASMEL",NA,"yellow winged cacique"
NA,"CROR",NA,"Crested Oropendola","Psarocolius decumanus","PSADEC",NA,"crested oropendola"
NA,"CHOR",NA,"Chestnut-headed Oropendola","Psarocolius wagleri","PSAWAG",NA,"chestnut headed oropendola"
NA,"MORO","*","Montezuma Oropendola","Psarocolius montezuma","PSAMON",NA,"montezuma oropendola"
NA,"BLOR",NA,"Black Oropendola","Psarocolius guatimozinus","PSAGUA",NA,"black oropendola"
NA,"SRCA",NA,"Scarlet-rumped Cacique","Cacicus uropygialis","CACURO",NA,"scarlet rumped cacique"
NA,"YRCA",NA,"Yellow-rumped Cacique","Cacicus cela","CACCEL",NA,"yellow rumped cacique"
NA,"BAHO","*","Bahama Oriole","Icterus northropi","ICTNOR",NA,"bahama oriole"
NA,"CUOR",NA,"Cuban Oriole","Icterus melanopsis","ICTMEL",NA,"cuban oriole"
NA,"HIOR",NA,"Hispaniolan Oriole","Icterus dominicensis","ICTDOM",NA,"hispaniolan oriole"
NA,"PROR",NA,"Puerto Rican Oriole","Icterus portoricensis","ICTPOR",NA,"puerto rican oriole"
NA,"SLOR",NA,"St. Lucia Oriole","Icterus laudabilis","ICTLAU",NA,"st. lucia oriole"
NA,"MORI","*","Montserrat Oriole","Icterus oberi","ICTOBE",NA,"montserrat oriole"
NA,"MAOR",NA,"Martinique Oriole","Icterus bonana","ICTBON",NA,"martinique oriole"
NA,"BVOR",NA,"Black-vented Oriole","Icterus wagleri","ICTWAG",NA,"black vented oriole"
NA,"BWOR",NA,"Bar-winged Oriole","Icterus maculialatus","ICTMAC",NA,"bar winged oriole"
NA,"BCOR",NA,"Black-cowled Oriole","Icterus prosthemelas","ICTPRO",NA,"black cowled oriole"
NA,"OROR",NA,"Orchard Oriole","Icterus spurius","ICTSPU",NA,"orchard oriole"
NA,"HOOR",NA,"Hooded Oriole","Icterus cucullatus","ICTCUC",NA,"hooded oriole"
NA,"YBOR",NA,"Yellow-backed Oriole","Icterus chrysater","ICTCHR",NA,"yellow backed oriole"
NA,"OCOR",NA,"Orange-crowned Oriole","Icterus auricapillus","ICTAUC","*","orange crowned oriole"
NA,"YTOR",NA,"Yellow-tailed Oriole","Icterus mesomelas","ICTMES",NA,"yellow tailed oriole"
NA,"VETR",NA,"Venezuelan Troupial","Icterus icterus","ICTICT",NA,"venezuelan troupial"
NA,"SBAO","*","Streak-backed Oriole","Icterus pustulatus","ICTPUS",NA,"streak backed oriole"
NA,"BUOR",NA,"Bullock's Oriole","Icterus bullockii","ICTBUL",NA,"bullocks oriole"
"+","BBOH",NA,"Bullock's x Baltimore Oriole Hybrid","Icterus bullockii x galbula","ICTBUG",NA,"bullocks x baltimore oriole hybrid"
NA,"ORAO","*","Orange Oriole","Icterus auratus","ICTAUT","*","orange oriole"
NA,"JAOR",NA,"Jamaican Oriole","Icterus leucopteryx","ICTLEU",NA,"jamaican oriole"
NA,"SBOR",NA,"Spot-breasted Oriole","Icterus pectoralis","ICTPEC",NA,"spot breasted oriole"
NA,"ALOR",NA,"Altamira Oriole","Icterus gularis","ICTGUL",NA,"altamira oriole"
NA,"AUOR",NA,"Audubon's Oriole","Icterus graduacauda","ICTGRA",NA,"audubons oriole"
NA,"BAOR",NA,"Baltimore Oriole","Icterus galbula","ICTGAL",NA,"baltimore oriole"
NA,"BBOR",NA,"Black-backed Oriole","Icterus abeillei","ICTABE",NA,"black backed oriole"
NA,"SCOR",NA,"Scott's Oriole","Icterus parisorum","ICTPAR",NA,"scotts oriole"
NA,"JABL",NA,"Jamaican Blackbird","Nesopsar nigerrimus","NESNIG",NA,"jamaican blackbird"
NA,"RWBL",NA,"Red-winged Blackbird","Agelaius phoeniceus","AGEPHO",NA,"red winged blackbird"
NA,"RSBL",NA,"Red-shouldered Blackbird","Agelaius assimilis","AGEASS",NA,"red shouldered blackbird"
NA,"TRBL",NA,"Tricolored Blackbird","Agelaius tricolor","AGETRI",NA,"tricolored blackbird"
NA,"TSBL",NA,"Tawny-shouldered Blackbird","Agelaius humeralis","AGEHUM",NA,"tawny shouldered blackbird"
NA,"YSBL",NA,"Yellow-shouldered Blackbird","Agelaius xanthomus","AGEXAN",NA,"yellow shouldered blackbird"
NA,"SHCO",NA,"Shiny Cowbird","Molothrus bonariensis","MOLBON",NA,"shiny cowbird"
NA,"BROC","*","Bronzed Cowbird","Molothrus aeneus","MOLAEN",NA,"bronzed cowbird"
NA,"BHCO",NA,"Brown-headed Cowbird","Molothrus ater","MOLATE",NA,"brown headed cowbird"
NA,"GICO",NA,"Giant Cowbird","Molothrus oryzivorus","MOLORY",NA,"giant cowbird"
NA,"MEBL",NA,"Melodious Blackbird","Dives dives","DIVDIV",NA,"melodious blackbird"
NA,"CUBL",NA,"Cuban Blackbird","Ptiloxena atroviolacea","PTIATR",NA,"cuban blackbird"
NA,"RUBL",NA,"Rusty Blackbird","Euphagus carolinus","EUPCAR",NA,"rusty blackbird"
NA,"BRBL",NA,"Brewer's Blackbird","Euphagus cyanocephalus","EUPCYC","*","brewers blackbird"
NA,"COGR",NA,"Common Grackle","Quiscalus quiscula","QUIQUI",NA,"common grackle"
NA,"BTGR",NA,"Boat-tailed Grackle","Quiscalus major","QUIMAJ",NA,"boat tailed grackle"
NA,"GTGR",NA,"Great-tailed Grackle","Quiscalus mexicanus","QUIMEX",NA,"great tailed grackle"
NA,"SBGR",NA,"Slender-billed Grackle","Quiscalus palustris","QUIPAL",NA,"slender billed grackle"
NA,"NIGR",NA,"Nicaraguan Grackle","Quiscalus nicaraguensis","QUINIC",NA,"nicaraguan grackle"
NA,"GAGR",NA,"Greater Antillean Grackle","Quiscalus niger","QUINIG",NA,"greater antillean grackle"
NA,"CAGR",NA,"Carib Grackle","Quiscalus lugubris","QUILUG",NA,"carib grackle"
NA,"YHOB","*","Yellow-hooded Blackbird","Chrysomus icterocephalus","CHRICT",NA,"yellow hooded blackbird"
"+","UNBL",NA,"Unidentified Blackbird","Icteridae (gen, sp)","ICTGSP",NA,"unidentified blackbird"
NA,"OVEN",NA,"Ovenbird","Seiurus aurocapilla","SEIAUR",NA,"ovenbird"
NA,"WEWA",NA,"Worm-eating Warbler","Helmitheros vermivorum","HELVER",NA,"worm eating warbler"
NA,"LOWA",NA,"Louisiana Waterthrush","Parkesia motacilla","PARMOT",NA,"louisiana waterthrush"
NA,"NOWA",NA,"Northern Waterthrush","Parkesia noveboracensis","PARNOV",NA,"northern waterthrush"
NA,"BAWA",NA,"Bachman's Warbler","Vermivora bachmanii","VERBAC",NA,"bachmans warbler"
NA,"GWWA",NA,"Golden-winged Warbler","Vermivora chrysoptera","VERCHR",NA,"golden winged warbler"
NA,"BWWA",NA,"Blue-winged Warbler","Vermivora cyanoptera","VERCYA",NA,"blue winged warbler"
