"","ModernName","Year","arrival"
"245","hairy woodpecker",2012,2012-05-14
"246","hairy woodpecker",2013,2013-03-07
"247","hairy woodpecker",2014,2014-03-17
"248","hairy woodpecker",2015,2015-03-04
"249","henslows sparrow",2015,2015-04-24
"250","hermit thrush",2012,2012-05-08
"251","hermit thrush",2013,2013-04-05
"252","hermit thrush",2014,2014-04-04
"253","hermit thrush",2015,2015-04-10
"254","herring gull",2012,2012-03-20
"255","herring gull",2013,2013-03-13
"256","herring gull",2014,2014-03-03
"257","hooded merganser",2012,2012-03-09
"258","hooded merganser",2013,2013-03-01
"259","hooded merganser",2014,2014-03-03
"260","hooded merganser",2015,2015-03-26
"261","hooded warbler",2012,2012-05-16
"262","hooded warbler",2013,2013-04-16
"263","hooded warbler",2014,2014-05-22
"264","hooded warbler",2015,2015-05-06
"265","horned grebe",2013,2013-03-11
"266","house finch",2012,2012-05-07
"267","house finch",2013,2013-03-14
"268","house finch",2014,2014-03-07
"269","house finch",2015,2015-03-04
"270","house sparrow",2012,2012-03-06
"271","house sparrow",2013,2013-03-01
"272","house sparrow",2014,2014-03-03
"273","house sparrow",2015,2015-03-02
"274","house wren",2013,2013-04-09
"275","house wren",2014,2014-04-30
"276","house wren",2015,2015-05-07
"277","indigo bunting",2012,2012-05-07
"278","indigo bunting",2013,2013-05-14
"279","indigo bunting",2014,2014-05-10
"280","indigo bunting",2015,2015-05-06
"281","killdeer",2013,2013-03-20
"282","least flycatcher",2012,2012-05-18
"283","least flycatcher",2013,2013-05-10
"284","least flycatcher",2014,2014-05-10
"285","least flycatcher",2015,2015-05-04
"286","lecontes sparrow",2013,2013-05-15
"287","lecontes sparrow",2014,2014-05-07
"288","lesser scaup",2012,2012-03-20
"289","lesser scaup",2013,2013-03-01
"290","lesser scaup",2014,2014-03-07
"291","lesser scaup",2015,2015-03-03
"292","lincolns sparrow",2013,2013-04-22
"293","lincolns sparrow",2014,2014-05-01
"294","lincolns sparrow",2015,2015-04-01
"295","long eared owl",2015,2015-05-12
"296","long tailed duck",2013,2013-04-24
"297","louisiana waterthrush",2013,2013-05-14
"298","louisiana waterthrush",2014,2014-05-10
"299","magnolia warbler",2012,2012-05-07
"300","magnolia warbler",2013,2013-05-08
"301","magnolia warbler",2014,2014-05-08
"302","magnolia warbler",2015,2015-05-08
"303","mallard",2012,2012-03-01
"304","mallard",2013,2013-03-01
"305","mallard",2014,2014-03-03
"306","mallard",2015,2015-03-02
"307","marsh wren",2012,2012-04-27
"308","marsh wren",2013,2013-05-16
"309","marsh wren",2014,2014-05-12
"310","mourning dove",2012,2012-03-21
"311","mourning dove",2013,2013-03-20
"312","mourning dove",2014,2014-03-24
"313","mourning dove",2015,2015-04-01
"314","mourning warbler",2013,2013-05-15
"315","mourning warbler",2014,2014-05-20
"316","mourning warbler",2015,2015-05-16
"317","nashville warbler",2012,2012-05-18
"318","nashville warbler",2013,2013-04-23
"319","nashville warbler",2014,2014-04-30
"320","nashville warbler",2015,2015-05-13
"321","northern cardinal",2012,2012-03-15
"322","northern cardinal",2013,2013-03-01
"323","northern cardinal",2014,2014-03-03
"324","northern cardinal",2015,2015-03-02
"325","northern flicker",2012,2012-03-16
"326","northern flicker",2013,2013-03-27
"327","northern flicker",2014,2014-03-28
"328","northern flicker",2015,2015-04-03
"329","northern mockingbird",2013,2013-05-12
"330","northern parula",2013,2013-05-17
"331","northern parula",2014,2014-04-21
"332","northern parula",2015,2015-05-07
"333","northern rough winged swallow",2012,2012-04-27
"334","northern rough winged swallow",2013,2013-04-15
"335","northern rough winged swallow",2014,2014-04-16
"336","northern rough winged swallow",2015,2015-04-08
"337","northern shoveler",2012,2012-03-29
"338","northern shoveler",2013,2013-03-18
"339","northern shoveler",2014,2014-04-01
"340","northern waterthrush",2012,2012-05-12
"341","northern waterthrush",2013,2013-04-23
"342","northern waterthrush",2014,2014-04-29
"343","northern waterthrush",2015,2015-05-04
"344","olive sided flycatcher",2013,2013-05-20
"345","olive sided flycatcher",2014,2014-05-20
"346","olive sided flycatcher",2015,2015-05-27
"347","orange crowned warbler",2012,2012-05-08
"348","orange crowned warbler",2013,2013-05-02
"349","orange crowned warbler",2014,2014-04-25
"350","ovenbird",2012,2012-05-07
"351","ovenbird",2013,2013-05-11
"352","ovenbird",2014,2014-05-05
"353","ovenbird",2015,2015-05-12
"354","palm warbler",2012,2012-04-23
"355","palm warbler",2013,2013-04-16
"356","palm warbler",2014,2014-04-22
"357","palm warbler",2015,2015-04-14
"358","philadelphia vireo",2012,2012-05-16
"359","philadelphia vireo",2013,2013-05-16
"360","philadelphia vireo",2014,2014-05-13
"361","pied billed grebe",2012,2012-03-13
"362","pied billed grebe",2013,2013-04-09
"363","pied billed grebe",2014,2014-04-18
"364","pied billed grebe",2015,2015-04-01
"365","pine siskin",2013,2013-05-21
"366","pine siskin",2015,2015-05-12
"367","pine warbler",2012,2012-05-04
"368","pine warbler",2013,2013-05-01
"369","pine warbler",2014,2014-04-29
"370","prothonotary warbler",2013,2013-05-13
"371","prothonotary warbler",2015,2015-05-14
"372","red bellied woodpecker",2012,2012-03-20
"373","red bellied woodpecker",2013,2013-03-11
"374","red bellied woodpecker",2015,2015-03-13
"375","red breasted merganser",2013,2013-03-29
"376","red breasted merganser",2014,2014-03-03
"377","red breasted merganser",2015,2015-03-09
"378","red breasted nuthatch",2012,2012-03-21
"379","red breasted nuthatch",2013,2013-03-02
"380","red breasted nuthatch",2014,2014-03-13
"381","red eyed vireo",2012,2012-05-20
"382","red eyed vireo",2013,2013-05-15
"383","red eyed vireo",2014,2014-05-11
"384","red eyed vireo",2015,2015-05-06
"385","red headed woodpecker",2013,2013-03-22
"386","red headed woodpecker",2014,2014-05-08
"387","red tailed hawk",2014,2014-03-13
"388","red winged blackbird",2012,2012-03-06
"389","red winged blackbird",2013,2013-03-04
"390","red winged blackbird",2014,2014-03-01
"391","red winged blackbird",2015,2015-03-10
"392","redhead",2013,2013-03-08
"393","redhead",2014,2014-03-10
"394","redhead",2015,2015-03-03
"395","ring billed gull",2012,2012-03-01
"396","ring billed gull",2013,2013-03-01
"397","ring billed gull",2014,2014-03-03
"398","ring billed gull",2015,2015-03-02
"399","ring necked duck",2014,2014-03-31
"400","rock pigeon",2012,2012-03-20
"401","rock pigeon",2013,2013-03-04
"402","rock pigeon",2014,2014-03-07
"403","rock pigeon",2015,2015-03-04
"404","rose breasted grosbeak",2012,2012-05-12
"405","rose breasted grosbeak",2013,2013-05-01
"406","rose breasted grosbeak",2014,2014-05-08
"407","rose breasted grosbeak",2015,2015-05-08
"408","ruby crowned kinglet",2013,2013-04-01
"409","ruby crowned kinglet",2014,2014-04-11
"410","ruby crowned kinglet",2015,2015-03-31
"411","ruby throated hummingbird",2012,2012-05-08
"412","ruby throated hummingbird",2013,2013-05-16
"413","ruby throated hummingbird",2014,2014-05-22
"414","ruddy duck",2015,2015-04-20
"415","rusty blackbird",2015,2015-03-16
"416","savannah sparrow",2012,2012-04-16
"417","savannah sparrow",2013,2013-04-15
"418","savannah sparrow",2014,2014-04-01
"419","savannah sparrow",2015,2015-04-10
"420","scarlet tanager",2012,2012-05-12
"421","scarlet tanager",2013,2013-05-09
"422","scarlet tanager",2014,2014-05-02
"423","scarlet tanager",2015,2015-05-09
"424","song sparrow",2012,2012-03-05
"425","song sparrow",2013,2013-03-06
"426","song sparrow",2014,2014-03-08
"427","song sparrow",2015,2015-03-02
"428","sora",2012,2012-04-17
"429","sora",2013,2013-04-30
"430","spotted sandpiper",2012,2012-05-12
