"species","year","daySeen","observer"
"American Goldfinch",1902,5,"Walter"
"Tree Swallow",1902,13,"Walter"
"American Redstart",1902,10,"Walter"
"Barn Swallow",1902,14,"Walter"
"Fox Sparrow",1902,27,"Walter"
"Chimney Swift",1902,11,"Walter"
"Blue-gray Gnatcatcher",1902,16,"Walter"
"White-crowned Sparrow",1902,16,"Walter"
"Palm Warbler",1902,19,"Walter"
"Hermit Thrush",1902,9,"Walter"
"Black-and-white Warbler",1902,12,"Walter"
"Least Flycatcher",1902,7,"Walter"
"Magnolia Warbler",1902,16,"Walter"
"Black-throated Blue Warbler",1902,12,"Walter"
"Swainson's Thrush",1902,11,"Walter"
"Eastern Phoebe",1902,45,"Walter"
"Baltimore Oriole",1902,11,"Walter"
"Northern Waterthrush",1902,8,"Walter"
"Field Sparrow",1902,21,"Walter"
"Swamp Sparrow",1902,17,"Walter"
"American Crow",1902,16,"Walter"
"Chestnut-sided Warbler",1902,9,"Walter"
"Ovenbird",1902,11,"Walter"
"White-breasted Nuthatch",1902,6,"Walter"
"Common Yellowthroat",1902,3,"Walter"
"Eastern Wood-Pewee",1902,7,"Walter"
"Downy Woodpecker",1902,17,"Walter"
"House Wren",1902,13,"Walter"
"Red-eyed Vireo",1902,6,"Walter"
"Loggerhead Shrike",1902,7,"Walter"
"Indigo Bunting",1902,5,"Walter"
"Black-throated Green Warbler",1902,6,"Walter"
"Blackburnian Warbler",1902,5,"Walter"
"Blackpoll Warbler",1902,3,"Walter"
"Eastern Kingbird",1902,6,"Walter"
"Scarlet Tanager",1902,3,"Walter"
"Ruby-throated Hummingbird",1902,1,"Walter"
"Mourning Dove",1902,2,"Walter"
"Rose-breasted Grosbeak",1902,6,"Walter"
"American Tree Sparrow",1902,12,"Walter"
"Winter Wren",1902,3,"Walter"
"Eastern Meadowlark",1902,5,"Walter"
"Purple Martin",1902,4,"Walter"
"Cape May Warbler",1902,6,"Walter"
"Warbling Vireo",1902,4,"Walter"
"Mourning Warbler",1902,4,"Walter"
"Wilson's Warbler",1902,5,"Walter"
"Yellow-billed Cuckoo",1902,1,"Walter"
"Great Crested Flycatcher",1902,10,"Walter"
"Bobolink",1902,1,"Walter"
"Canada Warbler",1902,1,"Walter"
"Red-winged Blackbird",1902,3,"Walter"
"Wood Thrush",1902,3,"Walter"
"Orchard Oriole",1902,1,"Walter"
"Red-breasted Nuthatch",1902,3,"Walter"
"Northern Harrier",1902,5,"Walter"
"Hairy Woodpecker",1902,4,"Walter"
"Bay-breasted Warbler",1902,4,"Walter"
"Northern Parula",1902,9,"Walter"
"Black-capped Chickadee",1902,0,"Walter"
"Pine Warbler",1902,5,"Walter"
"Henslow's Sparrow",1902,3,"Walter"
"Nashville Warbler",1902,0,"Walter"
"Yellow-throated Vireo",1902,3,"Walter"
"Cedar Waxwing",1902,2,"Walter"
"Purple Finch",1902,1,"Walter"
"Vesper Sparrow",1902,4,"Walter"
"Blue-headed Vireo",1902,6,"Walter"
"Gray-cheeked Thrush",1902,3,"Walter"
"American Kestrel",1902,2,"Walter"
"Yellow-bellied Flycatcher",1902,2,"Walter"
"Common Nighthawk",1902,0,"Walter"
"Lincoln's Sparrow",1902,1,"Walter"
"Black-billed Cuckoo",1902,2,"Walter"
"Rusty Blackbird",1902,0,"Walter"
"Yellow-breasted Chat",1902,1,"Walter"
"Marsh Wren",1902,0,"Walter"
"Louisiana Waterthrush",1902,3,"Walter"
"Prothonotary Warbler",1902,3,"Walter"
"Savannah Sparrow",1902,0,"Walter"
"Golden-winged Warbler",1902,1,"Walter"
"Eastern Whip-poor-will",1902,0,"Walter"
"Connecticut Warbler",1902,0,"Walter"
"Dickcissel",1902,2,"Walter"
"Tennessee Warbler",1902,0,"Walter"
"Northern Mockingbird",1902,0,"Walter"
"Cerulean Warbler",1902,1,"Walter"
"Summer Tanager",1902,0,"Walter"
"Northern Cardinal",1902,0,"Walter"
"Red-bellied Woodpecker",1902,0,"Walter"
"Hooded Warbler",1902,0,"Walter"
"Yellow-headed Blackbird",1902,0,"Walter"
"American Robin",1903,82,"Walter"
"Common Grackle",1903,72,"Walter"
"Blue Jay",1903,51,"Walter"
"Brown-headed Cowbird",1903,54,"Walter"
"Dark-eyed Junco",1903,42,"Walter"
"Eastern Towhee",1903,48,"Walter"
"Song Sparrow",1903,36,"Walter"
"Northern Flicker",1903,46,"Walter"
"Ruby-crowned Kinglet",1903,39,"Walter"
"White-throated Sparrow",1903,35,"Walter"
"Eastern Bluebird",1903,50,"Walter"
"Veery",1903,20,"Walter"
"Yellow-bellied Sapsucker",1903,34,"Walter"
"Yellow Warbler",1903,27,"Walter"
"Belted Kingfisher",1903,19,"Walter"
"Red-headed Woodpecker",1903,26,"Walter"
"Yellow-rumped Warbler",1903,31,"Walter"
"Brown Thrasher",1903,29,"Walter"
"Brown Creeper",1903,27,"Walter"
"Gray Catbird",1903,17,"Walter"
"Golden-crowned Kinglet",1903,23,"Walter"
"Chipping Sparrow",1903,32,"Walter"
"American Goldfinch",1903,18,"Walter"
"Tree Swallow",1903,22,"Walter"
"American Redstart",1903,20,"Walter"
"Barn Swallow",1903,19,"Walter"
"Fox Sparrow",1903,21,"Walter"
"Chimney Swift",1903,22,"Walter"
"Blue-gray Gnatcatcher",1903,17,"Walter"
"White-crowned Sparrow",1903,17,"Walter"
"Palm Warbler",1903,20,"Walter"
"Hermit Thrush",1903,27,"Walter"
"Black-and-white Warbler",1903,18,"Walter"
"Least Flycatcher",1903,18,"Walter"
"Magnolia Warbler",1903,20,"Walter"
"Black-throated Blue Warbler",1903,16,"Walter"
"Swainson's Thrush",1903,23,"Walter"
"Eastern Phoebe",1903,19,"Walter"
"Baltimore Oriole",1903,13,"Walter"
"Northern Waterthrush",1903,17,"Walter"
"Field Sparrow",1903,17,"Walter"
"Swamp Sparrow",1903,17,"Walter"
"American Crow",1903,18,"Walter"
"Chestnut-sided Warbler",1903,16,"Walter"
"Ovenbird",1903,11,"Walter"
"White-breasted Nuthatch",1903,2,"Walter"
"Common Yellowthroat",1903,15,"Walter"
"Eastern Wood-Pewee",1903,13,"Walter"
"Downy Woodpecker",1903,10,"Walter"
"House Wren",1903,24,"Walter"
"Red-eyed Vireo",1903,16,"Walter"
"Loggerhead Shrike",1903,13,"Walter"
"Indigo Bunting",1903,11,"Walter"
"Black-throated Green Warbler",1903,12,"Walter"
"Blackburnian Warbler",1903,6,"Walter"
"Blackpoll Warbler",1903,15,"Walter"
"Eastern Kingbird",1903,17,"Walter"
"Scarlet Tanager",1903,10,"Walter"
"Ruby-throated Hummingbird",1903,10,"Walter"
"Mourning Dove",1903,8,"Walter"
"Rose-breasted Grosbeak",1903,6,"Walter"
"American Tree Sparrow",1903,8,"Walter"
"Winter Wren",1903,10,"Walter"
"Eastern Meadowlark",1903,4,"Walter"
"Purple Martin",1903,20,"Walter"
"Cape May Warbler",1903,7,"Walter"
