"species","year","daySeen","observer"
"Pine Warbler",2013,4,"Fidino"
"Pine Warbler",2014,1,"Fidino"
"Pine Warbler",2015,0,"Fidino"
"Prothonotary Warbler",2012,0,"Fidino"
"Prothonotary Warbler",2013,1,"Fidino"
"Prothonotary Warbler",2014,0,"Fidino"
"Prothonotary Warbler",2015,2,"Fidino"
"Red-bellied Woodpecker",2012,2,"Fidino"
"Red-bellied Woodpecker",2013,17,"Fidino"
"Red-bellied Woodpecker",2014,0,"Fidino"
"Red-bellied Woodpecker",2015,14,"Fidino"
"Red-breasted Merganser",2012,0,"Fidino"
"Red-breasted Merganser",2013,18,"Fidino"
"Red-breasted Merganser",2014,32,"Fidino"
"Red-breasted Merganser",2015,4,"Fidino"
"Red-breasted Nuthatch",2012,1,"Fidino"
"Red-breasted Nuthatch",2013,19,"Fidino"
"Red-breasted Nuthatch",2014,1,"Fidino"
"Red-breasted Nuthatch",2015,0,"Fidino"
"Red-eyed Vireo",2012,2,"Fidino"
"Red-eyed Vireo",2013,3,"Fidino"
"Red-eyed Vireo",2014,6,"Fidino"
"Red-eyed Vireo",2015,7,"Fidino"
"Red-headed Woodpecker",2012,0,"Fidino"
"Red-headed Woodpecker",2013,7,"Fidino"
"Red-headed Woodpecker",2014,2,"Fidino"
"Red-headed Woodpecker",2015,0,"Fidino"
"Red-tailed Hawk",2012,0,"Fidino"
"Red-tailed Hawk",2013,0,"Fidino"
"Red-tailed Hawk",2014,1,"Fidino"
"Red-tailed Hawk",2015,0,"Fidino"
"Red-winged Blackbird",2012,53,"Fidino"
"Red-winged Blackbird",2013,64,"Fidino"
"Red-winged Blackbird",2014,55,"Fidino"
"Red-winged Blackbird",2015,43,"Fidino"
"Redhead",2012,0,"Fidino"
"Redhead",2013,8,"Fidino"
"Redhead",2014,12,"Fidino"
"Redhead",2015,13,"Fidino"
"Ring-billed Gull",2012,47,"Fidino"
"Ring-billed Gull",2013,65,"Fidino"
"Ring-billed Gull",2014,52,"Fidino"
"Ring-billed Gull",2015,44,"Fidino"
"Ring-necked Duck",2012,0,"Fidino"
"Ring-necked Duck",2013,0,"Fidino"
"Ring-necked Duck",2014,2,"Fidino"
"Ring-necked Duck",2015,0,"Fidino"
"Rock Pigeon",2012,16,"Fidino"
"Rock Pigeon",2013,65,"Fidino"
"Rock Pigeon",2014,38,"Fidino"
"Rock Pigeon",2015,40,"Fidino"
"Rose-breasted Grosbeak",2012,1,"Fidino"
"Rose-breasted Grosbeak",2013,9,"Fidino"
"Rose-breasted Grosbeak",2014,3,"Fidino"
"Rose-breasted Grosbeak",2015,5,"Fidino"
"Ruby-crowned Kinglet",2012,0,"Fidino"
"Ruby-crowned Kinglet",2013,32,"Fidino"
"Ruby-crowned Kinglet",2014,21,"Fidino"
"Ruby-crowned Kinglet",2015,25,"Fidino"
"Ruby-throated Hummingbird",2012,2,"Fidino"
"Ruby-throated Hummingbird",2013,5,"Fidino"
"Ruby-throated Hummingbird",2014,1,"Fidino"
"Ruby-throated Hummingbird",2015,0,"Fidino"
"Ruddy Duck",2012,0,"Fidino"
"Ruddy Duck",2013,0,"Fidino"
"Ruddy Duck",2014,0,"Fidino"
"Ruddy Duck",2015,2,"Fidino"
"Rusty Blackbird",2012,0,"Fidino"
"Rusty Blackbird",2013,0,"Fidino"
"Rusty Blackbird",2014,0,"Fidino"
"Rusty Blackbird",2015,1,"Fidino"
"Savannah Sparrow",2012,5,"Fidino"
"Savannah Sparrow",2013,10,"Fidino"
"Savannah Sparrow",2014,9,"Fidino"
"Savannah Sparrow",2015,4,"Fidino"
"Scarlet Tanager",2012,4,"Fidino"
"Scarlet Tanager",2013,6,"Fidino"
"Scarlet Tanager",2014,9,"Fidino"
"Scarlet Tanager",2015,2,"Fidino"
"Song Sparrow",2012,36,"Fidino"
"Song Sparrow",2013,48,"Fidino"
"Song Sparrow",2014,46,"Fidino"
"Song Sparrow",2015,40,"Fidino"
"Sora",2012,4,"Fidino"
"Sora",2013,1,"Fidino"
"Sora",2014,0,"Fidino"
"Sora",2015,0,"Fidino"
"Spotted Sandpiper",2012,3,"Fidino"
"Spotted Sandpiper",2013,3,"Fidino"
"Spotted Sandpiper",2014,9,"Fidino"
"Spotted Sandpiper",2015,1,"Fidino"
"Summer Tanager",2012,0,"Fidino"
"Summer Tanager",2013,0,"Fidino"
"Summer Tanager",2014,0,"Fidino"
"Summer Tanager",2015,1,"Fidino"
"Swainson's Thrush",2012,2,"Fidino"
"Swainson's Thrush",2013,9,"Fidino"
"Swainson's Thrush",2014,11,"Fidino"
"Swainson's Thrush",2015,12,"Fidino"
"Swamp Sparrow",2012,0,"Fidino"
"Swamp Sparrow",2013,30,"Fidino"
"Swamp Sparrow",2014,22,"Fidino"
"Swamp Sparrow",2015,19,"Fidino"
"Tennessee Warbler",2012,0,"Fidino"
"Tennessee Warbler",2013,3,"Fidino"
"Tennessee Warbler",2014,0,"Fidino"
"Tennessee Warbler",2015,0,"Fidino"
"Tree Swallow",2012,2,"Fidino"
"Tree Swallow",2013,8,"Fidino"
"Tree Swallow",2014,0,"Fidino"
"Tree Swallow",2015,4,"Fidino"
"Veery",2012,0,"Fidino"
"Veery",2013,7,"Fidino"
"Veery",2014,1,"Fidino"
"Veery",2015,4,"Fidino"
"Vesper Sparrow",2012,0,"Fidino"
"Vesper Sparrow",2013,6,"Fidino"
"Vesper Sparrow",2014,0,"Fidino"
"Vesper Sparrow",2015,2,"Fidino"
"Virginia Rail",2012,0,"Fidino"
"Virginia Rail",2013,1,"Fidino"
"Virginia Rail",2014,0,"Fidino"
"Virginia Rail",2015,0,"Fidino"
"Warbling Vireo",2012,13,"Fidino"
"Warbling Vireo",2013,15,"Fidino"
"Warbling Vireo",2014,12,"Fidino"
"Warbling Vireo",2015,9,"Fidino"
"White-breasted Nuthatch",2012,0,"Fidino"
"White-breasted Nuthatch",2013,3,"Fidino"
"White-breasted Nuthatch",2014,0,"Fidino"
"White-breasted Nuthatch",2015,1,"Fidino"
"White-crowned Sparrow",2012,14,"Fidino"
"White-crowned Sparrow",2013,22,"Fidino"
"White-crowned Sparrow",2014,18,"Fidino"
"White-crowned Sparrow",2015,12,"Fidino"
"White-throated Sparrow",2012,11,"Fidino"
"White-throated Sparrow",2013,26,"Fidino"
"White-throated Sparrow",2014,21,"Fidino"
"White-throated Sparrow",2015,18,"Fidino"
"Willow Flycatcher",2012,4,"Fidino"
"Willow Flycatcher",2013,4,"Fidino"
"Willow Flycatcher",2014,2,"Fidino"
"Willow Flycatcher",2015,7,"Fidino"
"Wilson's Warbler",2012,7,"Fidino"
"Wilson's Warbler",2013,14,"Fidino"
"Wilson's Warbler",2014,6,"Fidino"
"Wilson's Warbler",2015,8,"Fidino"
"Winter Wren",2012,0,"Fidino"
"Winter Wren",2013,3,"Fidino"
"Winter Wren",2014,0,"Fidino"
"Winter Wren",2015,1,"Fidino"
"Wood Duck",2012,37,"Fidino"
"Wood Duck",2013,60,"Fidino"
"Wood Duck",2014,45,"Fidino"
"Wood Duck",2015,39,"Fidino"
"Wood Thrush",2012,0,"Fidino"
"Wood Thrush",2013,4,"Fidino"
"Wood Thrush",2014,5,"Fidino"
"Wood Thrush",2015,2,"Fidino"
"Yellow-bellied Flycatcher",2012,1,"Fidino"
"Yellow-bellied Flycatcher",2013,4,"Fidino"
"Yellow-bellied Flycatcher",2014,8,"Fidino"
"Yellow-bellied Flycatcher",2015,4,"Fidino"
"Yellow-bellied Sapsucker",2012,0,"Fidino"
"Yellow-bellied Sapsucker",2013,11,"Fidino"
"Yellow-bellied Sapsucker",2014,12,"Fidino"
"Yellow-bellied Sapsucker",2015,18,"Fidino"
"Yellow-billed Cuckoo",2012,0,"Fidino"
"Yellow-billed Cuckoo",2013,2,"Fidino"
"Yellow-billed Cuckoo",2014,0,"Fidino"
"Yellow-billed Cuckoo",2015,0,"Fidino"
"Yellow-breasted Chat",2012,0,"Fidino"
"Yellow-breasted Chat",2013,1,"Fidino"
"Yellow-breasted Chat",2014,1,"Fidino"
"Yellow-breasted Chat",2015,0,"Fidino"
"Yellow-rumped Warbler",2012,14,"Fidino"
"Yellow-rumped Warbler",2013,33,"Fidino"
"Yellow-rumped Warbler",2014,28,"Fidino"
"Yellow-rumped Warbler",2015,17,"Fidino"
"Yellow-throated Vireo",2012,1,"Fidino"
"Yellow-throated Vireo",2013,5,"Fidino"
"Yellow-throated Vireo",2014,0,"Fidino"
"Yellow-throated Vireo",2015,1,"Fidino"
"Yellow-throated Warbler",2012,0,"Fidino"
"Yellow-throated Warbler",2013,0,"Fidino"
"Yellow-throated Warbler",2014,2,"Fidino"
"Yellow-throated Warbler",2015,0,"Fidino"
"Yellow Warbler",2012,11,"Fidino"
"Yellow Warbler",2013,22,"Fidino"
"Yellow Warbler",2014,18,"Fidino"
"Yellow Warbler",2015,14,"Fidino"
