"ModernName","Year","arrival","ob","julian"
"Lincoln's Sparrow",2014,2014-05-01,"Fidino",121
"Lincoln's Sparrow",2015,2015-04-01,"Fidino",91
"Long-eared Owl",2015,2015-05-12,"Fidino",132
"Long-tailed Duck",2013,2013-04-24,"Fidino",114
"Louisiana Waterthrush",2013,2013-05-14,"Fidino",134
"Louisiana Waterthrush",2014,2014-05-10,"Fidino",130
"Magnolia Warbler",2012,2012-05-07,"Fidino",128
"Magnolia Warbler",2013,2013-05-08,"Fidino",128
"Magnolia Warbler",2014,2014-05-08,"Fidino",128
"Magnolia Warbler",2015,2015-05-08,"Fidino",128
"Mallard",2012,2012-03-01,"Fidino",61
"Mallard",2013,2013-03-01,"Fidino",60
"Mallard",2014,2014-03-03,"Fidino",62
"Mallard",2015,2015-03-02,"Fidino",61
"Marsh Wren",2012,2012-04-27,"Fidino",118
"Marsh Wren",2013,2013-05-16,"Fidino",136
"Marsh Wren",2014,2014-05-12,"Fidino",132
"Mourning Dove",2012,2012-03-21,"Fidino",81
"Mourning Dove",2013,2013-03-20,"Fidino",79
"Mourning Dove",2014,2014-03-24,"Fidino",83
"Mourning Dove",2015,2015-04-01,"Fidino",91
"Mourning Warbler",2013,2013-05-15,"Fidino",135
"Mourning Warbler",2014,2014-05-20,"Fidino",140
"Mourning Warbler",2015,2015-05-16,"Fidino",136
"Nashville Warbler",2012,2012-05-18,"Fidino",139
"Nashville Warbler",2013,2013-04-23,"Fidino",113
"Nashville Warbler",2014,2014-04-30,"Fidino",120
"Nashville Warbler",2015,2015-05-13,"Fidino",133
"Northern Cardinal",2012,2012-03-15,"Fidino",75
"Northern Cardinal",2013,2013-03-01,"Fidino",60
"Northern Cardinal",2014,2014-03-03,"Fidino",62
"Northern Cardinal",2015,2015-03-02,"Fidino",61
"Northern Flicker",2012,2012-03-16,"Fidino",76
"Northern Flicker",2013,2013-03-27,"Fidino",86
"Northern Flicker",2014,2014-03-28,"Fidino",87
"Northern Flicker",2015,2015-04-03,"Fidino",93
"Northern Mockingbird",2013,2013-05-12,"Fidino",132
"Northern Parula",2013,2013-05-17,"Fidino",137
"Northern Parula",2014,2014-04-21,"Fidino",111
"Northern Parula",2015,2015-05-07,"Fidino",127
"Northern Rough-winged Swallow",2012,2012-04-27,"Fidino",118
