"","CommonName","Year","ArrivalDate","ob","ArrivalDateJulian"
"226","american kestrel","1903",1903-04-30,"Walter",120
"227","american kestrel","1902",1902-03-21,"Walter",80
"228","american kestrel","1901",1901-03-24,"Walter",83
"229","american kestrel","1900",1900-04-18,"Walter",108
"230","american kestrel","1899",1899-04-25,"Walter",115
"231","song sparrow","1898",1898-03-15,"Walter",74
"232","song sparrow","1899",1899-03-19,"Walter",78
"233","song sparrow","1900",1900-03-27,"Walter",86
"234","song sparrow","1901",1901-03-18,"Walter",77
"235","song sparrow","1902",1902-03-08,"Walter",67
"236","song sparrow","1903",1903-03-12,"Walter",71
"237","scarlet tanager","1899",1899-05-04,"Walter",124
"238","scarlet tanager","1900",1900-05-02,"Walter",122
"239","scarlet tanager","1901",1901-05-05,"Walter",125
"240","scarlet tanager","1902",1902-05-03,"Walter",123
"241","scarlet tanager","1903",1903-05-05,"Walter",125
"242","rusty blackbird","1901",1901-04-05,"Walter",95
"243","rusty blackbird","1903",1903-03-17,"Walter",76
"244","ruby throated hummingbird","1899",1899-05-09,"Walter",129
"245","ruby throated hummingbird","1900",1900-05-13,"Walter",133
"246","ruby throated hummingbird","1901",1901-05-16,"Walter",136
"247","ruby throated hummingbird","1902",1902-05-17,"Walter",137
"248","ruby throated hummingbird","1903",1903-05-13,"Walter",133
"249","ruby crowned kinglet","1898",1898-04-01,"Walter",91
"250","ruby crowned kinglet","1899",1899-04-13,"Walter",103
"251","ruby crowned kinglet","1900",1900-04-07,"Walter",97
"252","ruby crowned kinglet","1902",1902-04-17,"Walter",107
"253","ruby crowned kinglet","1902",1902-04-13,"Walter",103
"254","ruby crowned kinglet","1903",1903-03-19,"Walter",78
"255","rose breasted grosbeak","1900",1900-05-11,"Walter",131
"256","rose breasted grosbeak","1901",1901-05-04,"Walter",124
"257","rose breasted grosbeak","1902",1902-04-28,"Walter",118
"258","rose breasted grosbeak","1903",1903-05-09,"Walter",129
"259","american robin","1898",1898-03-09,"Walter",68
"260","american robin","1899",1899-03-04,"Walter",63
"261","american robin","1900",1900-03-24,"Walter",83
"262","american robin","1901",1901-03-14,"Walter",73
"263","american robin","1902",1902-03-10,"Walter",69
"264","american robin","1903",1903-03-07,"Walter",66
"265","red winged blackbird","1900",1900-04-18,"Walter",108
"266","red winged blackbird","1901",1901-03-22,"Walter",81
"267","red winged blackbird","1902",1902-03-26,"Walter",85
"268","red winged blackbird","1903",1903-03-17,"Walter",76
"269","red headed woodpecker","1898",1898-04-29,"Walter",119
"270","red headed woodpecker","1899",1899-04-28,"Walter",118
"271","red headed woodpecker","1900",1900-05-06,"Walter",126
"272","red headed woodpecker","1901",1901-04-27,"Walter",117
"273","red headed woodpecker","1902",1902-04-27,"Walter",117
"274","red headed woodpecker","1903",1903-04-28,"Walter",118
"275","red eyed vireo","1899",1899-04-29,"Walter",119
"276","red eyed vireo","1900",1900-05-12,"Walter",132
"277","red eyed vireo","1901",1901-05-04,"Walter",124
"278","red eyed vireo","1902",1902-05-02,"Walter",122
"279","red eyed vireo","1903",1903-05-04,"Walter",124
"280","red breasted nuthatch","1902",1902-04-22,"Walter",112
"281","red breasted nuthatch","1903",1903-04-28,"Walter",118
"282","purple martin","1899",1899-05-30,"Walter",150
"283","purple martin","1901",1901-04-27,"Walter",117
"284","purple martin","1902",1902-04-23,"Walter",113
"285","purple martin","1903",1903-04-17,"Walter",107
"286","purple finch","1900",1900-04-15,"Walter",105
"287","purple finch","1902",1902-04-11,"Walter",101
"288","purple finch","1903",1903-04-15,"Walter",105
"289","prothonotary warbler","1902",1902-04-27,"Walter",117
"290","prothonotary warbler","1903",1903-05-19,"Walter",139
"291","pine warbler","1901",1901-04-30,"Walter",120
"292","pine warbler","1902",1902-04-21,"Walter",111
"293","pine warbler","1903",1903-04-22,"Walter",112
"294","eastern phoebe","1898",1898-03-20,"Walter",79
"295","eastern phoebe","1899",1899-04-17,"Walter",107
"296","eastern phoebe","1900",1900-04-01,"Walter",91
"297","eastern phoebe","1901",1901-03-18,"Walter",77
"298","eastern phoebe","1902",1902-03-15,"Walter",74
"299","eastern phoebe","1903",1903-03-17,"Walter",76
"300","northern parula","1901",1901-05-12,"Walter",132
"301","northern parula","1902",1902-05-03,"Walter",123
"302","northern parula","1903",1903-05-09,"Walter",129
"303","palm warbler","1899",1899-04-20,"Walter",110
"304","palm warbler","1900",1900-04-27,"Walter",117
"305","palm warbler","1901",1901-04-26,"Walter",116
"306","palm warbler","1902",1902-04-21,"Walter",111
"307","palm warbler","1903",1903-04-22,"Walter",112
"308","ovenbird","1898",1898-05-01,"Walter",121
"309","ovenbird","1899",1899-05-03,"Walter",123
"310","ovenbird","1900",1900-05-05,"Walter",125
"311","ovenbird","1901",1901-05-05,"Walter",125
"312","ovenbird","1902",1902-05-01,"Walter",121
"313","ovenbird","1903",1903-05-06,"Walter",126
"314","orchard oriole","1899",1899-05-06,"Walter",126
"315","orchard oriole","1900",1900-05-11,"Walter",131
"316","orchard oriole","1901",1901-05-10,"Walter",130
"317","orchard oriole","1902",1902-05-02,"Walter",122
"318","orchard oriole","1903",1903-05-05,"Walter",125
"319","olive backed thrush","1899",1899-05-04,"Walter",124
"320","olive backed thrush","1900",1900-05-08,"Walter",128
"321","olive backed thrush","1901",1901-04-30,"Walter",120
"322","olive backed thrush","1902",1902-04-22,"Walter",112
"323","olive backed thrush","1903",1903-04-29,"Walter",119
"324","common nighthawk","1900",1900-05-13,"Walter",133
"325","common nighthawk","1901",1901-05-18,"Walter",138
"326","common nighthawk","1902",1902-05-18,"Walter",138
"327","common nighthawk","1903",1903-05-18,"Walter",138
"328","nashville warbler","1899",1899-05-04,"Walter",124
"329","nashville warbler","1900",1900-05-09,"Walter",129
"330","nashville warbler","1901",1901-05-19,"Walter",139
"331","nashville warbler","1902",1902-05-02,"Walter",122
"332","nashville warbler","1903",1903-05-01,"Walter",121
"333","yellow rumped warbler","1898",1898-04-16,"Walter",106
"334","yellow rumped warbler","1899",1899-04-14,"Walter",104
"335","yellow rumped warbler","1900",1900-04-19,"Walter",109
"336","yellow rumped warbler","1901",1901-04-14,"Walter",104
"337","yellow rumped warbler","1902",1902-04-17,"Walter",107
"338","yellow rumped warbler","1903",1903-04-08,"Walter",98
"339","mourning warbler","1899",1899-05-13,"Walter",133
"340","mourning warbler","1900",1900-05-06,"Walter",126
"341","mourning warbler","1901",1901-05-16,"Walter",136
"342","mourning warbler","1902",1902-05-02,"Walter",122
"343","mourning warbler","1903",1903-05-11,"Walter",131
"344","eastern meadowlark","1900",1900-03-27,"Walter",86
"345","eastern meadowlark","1901",1901-03-19,"Walter",78
"346","eastern meadowlark","1902",1902-03-10,"Walter",69
"347","eastern meadowlark","1903",1903-03-13,"Walter",72
"348","northern harrier","1900",1900-04-19,"Walter",109
"349","northern harrier","1901",1901-03-25,"Walter",84
"350","northern harrier","1902",1902-04-21,"Walter",111
"351","northern harrier","1903",1903-04-01,"Walter",91
"352","magnolia warbler","1898",1898-05-11,"Walter",131
"353","magnolia warbler","1899",1899-04-27,"Walter",117
"354","magnolia warbler","1900",1900-05-08,"Walter",128
"355","magnolia warbler","1901",1901-05-06,"Walter",126
"356","magnolia warbler","1902",1902-04-21,"Walter",111
"357","magnolia warbler","1903",1903-05-05,"Walter",125
"358","louisiana waterthrush","1903",1903-05-05,"Walter",125
"359","marsh wren","1900",1900-04-12,"Walter",102
"360","marsh wren","1903",1903-03-29,"Walter",88
"361","loggerhead shrike","1899",1899-04-11,"Walter",101
"362","loggerhead shrike","1900",1900-03-09,"Walter",68
"363","loggerhead shrike","1901",1901-03-03,"Walter",62
"364","loggerhead shrike","1902",1902-03-09,"Walter",68
"365","loggerhead shrike","1903",1903-03-01,"Walter",60
"366","lincolns sparrow","1901",1901-05-23,"Walter",143
"367","lincolns sparrow","1902",1902-05-12,"Walter",132
"368","lincolns sparrow","1903",1903-05-10,"Walter",130
"369","least flycatcher","1898",1898-04-30,"Walter",120
"370","least flycatcher","1899",1899-04-20,"Walter",110
"371","least flycatcher","1900",1900-04-30,"Walter",120
"372","least flycatcher","1901",1901-05-06,"Walter",126
"373","least flycatcher","1902",1902-04-21,"Walter",111
"374","least flycatcher","1903",1903-05-09,"Walter",129
"375","eastern kingbird","1898",1898-04-30,"Walter",120
"376","eastern kingbird","1899",1899-05-10,"Walter",130
"377","eastern kingbird","1900",1900-05-06,"Walter",126
"378","eastern kingbird","1901",1901-05-10,"Walter",130
"379","eastern kingbird","1902",1902-04-21,"Walter",111
"380","eastern kingbird","1903",1903-05-05,"Walter",125
