"ID","BooksCommonName","Date"
376,"Kingbird",5/10/1899 0:00:00
377,"Kingbird",5/6/1900 0:00:00
378,"Kingbird",5/10/1901 0:00:00
379,"Kingbird",4/21/1902 0:00:00
380,"Kingbird",5/5/1903 0:00:00
381,"Junco",3/9/1898 0:00:00
382,"Junco",3/14/1899 0:00:00
383,"Junco",3/23/1900 0:00:00
384,"Junco",3/18/1901 0:00:00
385,"Junco",3/8/1902 0:00:00
386,"Junco",3/13/1903 0:00:00
387,"Indigo Bunting",5/10/1899 0:00:00
388,"Indigo Bunting",5/21/1900 0:00:00
389,"Indigo Bunting",5/10/1901 0:00:00
390,"Indigo Bunting",5/2/1902 0:00:00
391,"Indigo Bunting",5/6/1903 0:00:00
392,"House Wren",5/4/1898 0:00:00
393,"House Wren",4/30/1899 0:00:00
394,"House Wren",4/21/1901 0:00:00
395,"House Wren",4/23/1902 0:00:00
396,"House Wren",4/12/1903 0:00:00
397,"Hermit Thrush",4/11/1899 0:00:00
398,"Hermit Thrush",4/7/1900 0:00:00
399,"Hermit Thrush",4/5/1901 0:00:00
400,"Hermit Thrush",4/13/1902 0:00:00
401,"Hermit Thrush",3/19/1903 0:00:00
402,"Henslow Sparrow",4/26/1899 0:00:00
403,"Henslow Sparrow",4/21/1900 0:00:00
404,"Henslow Sparrow",4/30/1901 0:00:00
405,"Henslow Sparrow",4/24/1902 0:00:00
406,"Henslow Sparrow",4/15/1903 0:00:00
407,"Hairy Woodpecker",5/24/1899 0:00:00
408,"Hairy Woodpecker",4/19/1900 0:00:00
409,"Hairy Woodpecker",3/25/1902 0:00:00
410,"Hairy Woodpecker",3/6/1903 0:00:00
411,"Grinnell Water-Thrush",4/28/1899 0:00:00
412,"Grinnell Water-Thrush",4/23/1900 0:00:00
413,"Grinnell Water-Thrush",4/17/1901 0:00:00
414,"Grinnell Water-Thrush",4/21/1902 0:00:00
415,"Grinnell Water-Thrush",4/29/1903 0:00:00
416,"Great-crested Flycatcher",4/30/1899 0:00:00
417,"Great-crested Flycatcher",5/11/1901 0:00:00
418,"Great-crested Flycatcher",4/21/1902 0:00:00
419,"Great-crested Flycatcher",4/29/1903 0:00:00
420,"Gray-cheeked Thrush",5/11/1903 0:00:00
422,"Golden-crowned Kinglet",3/14/1898 0:00:00
423,"Golden-crowned Kinglet",4/11/1899 0:00:00
424,"Golden-crowned Kinglet",4/6/1900 0:00:00
425,"Golden-crowned Kinglet",4/5/1901 0:00:00
426,"Golden-crowned Kinglet",3/28/1902 0:00:00
427,"Golden-crowned Kinglet",3/19/1903 0:00:00
428,"Fox Sparrow",3/30/1898 0:00:00
429,"Fox Sparrow",3/14/1899 0:00:00
430,"Fox Sparrow",4/5/1900 0:00:00
431,"Fox Sparrow",3/18/1901 0:00:00
432,"Fox Sparrow",3/10/1902 0:00:00
433,"Fox Sparrow",3/17/1903 0:00:00
434,"Flicker",3/25/1898 0:00:00
435,"Flicker",4/11/1899 0:00:00
436,"Flicker",4/7/1900 0:00:00
437,"Flicker",3/23/1901 0:00:00
438,"Flicker",3/24/1902 0:00:00
439,"Flicker",3/18/1903 0:00:00
440,"Field Sparrow",4/17/1900 0:00:00
441,"Field Sparrow",4/5/1901 0:00:00
442,"Field Sparrow",3/11/1902 0:00:00
443,"Field Sparrow",3/19/1903 0:00:00
444,"Downy Woodpecker",4/8/1898 0:00:00
445,"Downy Woodpecker",3/27/1899 0:00:00
446,"Downy Woodpecker",4/25/1900 0:00:00
447,"Downy Woodpecker",4/5/1901 0:00:00
448,"Downy Woodpecker",3/10/1902 0:00:00
449,"Downy Woodpecker",3/6/1903 0:00:00
450,"Dickcissel",5/18/1902 0:00:00
451,"Crow",3/26/1899 0:00:00
452,"Crow",3/12/1900 0:00:00
453,"Crow",3/3/1901 0:00:00
454,"Crow",3/6/1902 0:00:00
455,"Crow",3/8/1903 0:00:00
456,"Cowbird",3/16/1898 0:00:00
457,"Cowbird",4/10/1899 0:00:00
458,"Cowbird",4/1/1900 0:00:00
459,"Cowbird",3/19/1901 0:00:00
460,"Cowbird",3/1/1902 0:00:00
461,"Cowbird",3/14/1903 0:00:00
462,"Chipping Sparrow",4/13/1898 0:00:00
463,"Chipping Sparrow",4/18/1899 0:00:00
464,"Chipping Sparrow",4/8/1900 0:00:00
465,"Chipping Sparrow",4/8/1901 0:00:00
466,"Chipping Sparrow",4/13/1902 0:00:00
467,"Chipping Sparrow",4/12/1903 0:00:00
468,"Chimney Swift",4/30/1898 0:00:00
469,"Chimney Swift",5/11/1899 0:00:00
470,"Chimney Swift",4/30/1900 0:00:00
471,"Chimney Swift",4/17/1901 0:00:00
472,"Chimney Swift",4/22/1902 0:00:00
473,"Chimney Swift",5/5/1903 0:00:00
474,"Chickadee",3/19/1900 0:00:00
475,"Chickadee",4/13/1901 0:00:00
476,"Chestnut-sided Warbler",5/10/1898 0:00:00
477,"Chestnut-sided Warbler",5/30/1899 0:00:00
478,"Chestnut-sided Warbler",5/3/1900 0:00:00
479,"Chestnut-sided Warbler",5/7/1901 0:00:00
480,"Chestnut-sided Warbler",5/2/1902 0:00:00
481,"Chestnut-sided Warbler",5/9/1903 0:00:00
482,"Cedar Waxwing",3/27/1899 0:00:00
483,"Cedar Waxwing",5/16/1901 0:00:00
484,"Cedar Waxwing",4/24/1902 0:00:00
485,"Cedar Waxwing",4/5/1903 0:00:00
486,"Catbird",5/1/1898 0:00:00
487,"Catbird",4/28/1899 0:00:00
488,"Catbird",4/30/1900 0:00:00
489,"Catbird",4/28/1901 0:00:00
490,"Catbird",3/26/1902 0:00:00
491,"Catbird",5/5/1903 0:00:00
492,"Cardinal",4/25/1900 0:00:00
493,"Cape May Warbler",5/1/1899 0:00:00
494,"Cape May Warbler",5/2/1900 0:00:00
495,"Cape May Warbler",5/5/1901 0:00:00
496,"Cape May Warbler",5/2/1902 0:00:00
497,"Cape May Warbler",5/9/1903 0:00:00
498,"Canadian Warbler",5/16/1899 0:00:00
499,"Canadian Warbler",5/12/1900 0:00:00
500,"Canadian Warbler",5/16/1901 0:00:00
501,"Canadian Warbler",5/6/1902 0:00:00
