species,habitat,food,nesting,behavior,conservation,status,order,family
Tree Swallow,Lakes and Ponds,Insects,Cavity,Aerial Forager,Low Concern,Breeding,Passeriformes,Hirundinidae
Veery,Forests,Insects,Ground,Ground Forager,Low Concern,Migrating,Passeriformes,Turdidae
Vesper Sparrow,Grasslands,Insects,Ground,Ground Forager,Low Concern,Breeding,Passeriformes,Passerellidae
Virginia Rail,Marshes,Aquatic invertebrates,Ground,Probing,Low Concern,Breeding,Gruiformes,Rallidae
Warbling Vireo,Open Woodlands,Insects,Tree,Foliage Gleaner,Low Concern,Breeding,Passeriformes,Vireonidae
White-breasted Nuthatch,Forests,Insects,Cavity,Bark Forager,Low Concern,Year-round,Passeriformes,Sittidae
White-crowned Sparrow,Scrub,Insects,Ground,Ground Forager,Low Concern,Nonbreeding,Passeriformes,Passerellidae
White-throated Sparrow,Forests,Seeds,Ground,Ground Forager,Low Concern,Nonbreeding,Passeriformes,Passerellidae
Willow Flycatcher,Marshes,Insects,Shrub,Flycatching,Low Concern,Breeding,Passeriformes,Tyrannidae
Wilson's Snipe,Marshes,Aquatic invertebrates,Ground,Probing,Low Concern,Nonbreeding,Charadriiformes,Scolopacidae
Wilson's Warbler,Scrub,Insects,Ground,Foliage Gleaner,Common Bird in Steep Decline,Migrating,Passeriformes,Parulidae
Winter Wren,Forests,Insects,Cavity,Ground Forager,Low Concern,Migrating,Passeriformes,Troglodytidae
Wood Duck,Lakes and Ponds,Insects,Cavity,Dabbler,Low Concern,Year-round,Anseriformes,Anatidae
Wood Thrush,Forests,Insects,Tree,Ground Forager,Declining,Breeding,Passeriformes,Turdidae
Yellow-bellied Flycatcher,Forests,Insects,Ground,Flycatching,Low Concern,Migrating,Passeriformes,Tyrannidae
Yellow-bellied Sapsucker,Forests,Insects,Cavity,Bark Forager,Low Concern,Migrating,Piciformes,Picidae
Yellow-billed Cuckoo,Open Woodlands,Insects,Tree,Foliage Gleaner,Common Bird in Steep Decline,Breeding,Cuculiformes,Cuculidae
Yellow-breasted Chat,Scrub,Insects,Shrub,Foliage Gleaner,Low Concern,Breeding,Passeriformes,Icteriidae
Yellow-headed Blackbird,Marshes,Insects,Shrub,Ground Forager,Low Concern,Breeding,Passeriformes,Icteridae
Yellow-rumped Warbler,Forests,Insects,Tree,Foliage Gleaner,Low Concern,Migrating,Passeriformes,Parulidae
Yellow-throated Vireo,Open Woodlands,Insects,Tree,Foliage Gleaner,Low Concern,Breeding,Passeriformes,Vireonidae
Yellow-throated Warbler,Forests,Insects,Tree,Bark Forager,Low Concern,Breeding,Passeriformes,Parulidae
Yellow Warbler,Open Woodlands,Insects,Shrub,Foliage Gleaner,Low Concern,Breeding,Passeriformes,Parulidae
